;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
229.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
230.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
231.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
232.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
233.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
234.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
235.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
236.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
237.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
238.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
239.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
240.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
241.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
242.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
243.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
244.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
245.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
246.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
247.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
248.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
249.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
250.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
251.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
252.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
253.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
254.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
255.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
256.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
257.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
